"product_code","barcode","product_name","original_hsn_code","suggested_or_applied_hsn_code","gst_percent","verification_status","verification_reason","exact_name_evidence_count","exact_name_valid_rows","official_verification_url"
"161401","161401","100ML BOX","0001","","18.00","MANUAL_REVIEW_INVALID_OR_PLACEHOLDER","HSN is blank, starts with 00, or is not 4/6/8 numeric digits; no strong exact-name consensus exists.","0","0","https://www.icegate.gov.in/Webappl/Trade-Guide-on-Imports"
"522246","522246","100ML BOX","0001","","18.00","MANUAL_REVIEW_INVALID_OR_PLACEHOLDER","HSN is blank, starts with 00, or is not 4/6/8 numeric digits; no strong exact-name consensus exists.","0","0","https://www.icegate.gov.in/Webappl/Trade-Guide-on-Imports"
"89200502","89200502","10SP TOY","0001","","5.00","MANUAL_REVIEW_INVALID_OR_PLACEHOLDER","HSN is blank, starts with 00, or is not 4/6/8 numeric digits; no strong exact-name consensus exists.","0","0","https://www.icegate.gov.in/Webappl/Trade-Guide-on-Imports"
"341588","341588","11 IN 1 FAMILY GAME","00001","","5.00","MANUAL_REVIEW_INVALID_OR_PLACEHOLDER","HSN is blank, starts with 00, or is not 4/6/8 numeric digits; no strong exact-name consensus exists.","0","0","https://www.icegate.gov.in/Webappl/Trade-Guide-on-Imports"
"090301","090301","11 IN 1 FAMILY GAMES","0001","","5.00","MANUAL_REVIEW_INVALID_OR_PLACEHOLDER","HSN is blank, starts with 00, or is not 4/6/8 numeric digits; no strong exact-name consensus exists.","0","0","https://www.icegate.gov.in/Webappl/Trade-Guide-on-Imports"
"170496","170496","11 IN 1 FAMILY GAMES","0001","","5.00","MANUAL_REVIEW_INVALID_OR_PLACEHOLDER","HSN is blank, starts with 00, or is not 4/6/8 numeric digits; no strong exact-name consensus exists.","0","0","https://www.icegate.gov.in/Webappl/Trade-Guide-on-Imports"
"340103","340103","11 IN 1 FAMILY GAMES","0001","","5.00","MANUAL_REVIEW_INVALID_OR_PLACEHOLDER","HSN is blank, starts with 00, or is not 4/6/8 numeric digits; no strong exact-name consensus exists.","0","0","https://www.icegate.gov.in/Webappl/Trade-Guide-on-Imports"
"1365","1365","116-31 DOCTOR PLYA SET","0001","","5.00","MANUAL_REVIEW_INVALID_OR_PLACEHOLDER","HSN is blank, starts with 00, or is not 4/6/8 numeric digits; no strong exact-name consensus exists.","0","0","https://www.icegate.gov.in/Webappl/Trade-Guide-on-Imports"
"343586","343586","12 HANDY GLOVES","00001","","18.00","MANUAL_REVIEW_INVALID_OR_PLACEHOLDER","HSN is blank, starts with 00, or is not 4/6/8 numeric digits; no strong exact-name consensus exists.","0","0","https://www.icegate.gov.in/Webappl/Trade-Guide-on-Imports"
"990628","990628","12 HANDY GLOVES","00001","","18.00","MANUAL_REVIEW_INVALID_OR_PLACEHOLDER","HSN is blank, starts with 00, or is not 4/6/8 numeric digits; no strong exact-name consensus exists.","0","0","https://www.icegate.gov.in/Webappl/Trade-Guide-on-Imports"
